"@timestamp","_id","_index","_score",env,"env.keyword",level,"level.keyword",message,"message.keyword","metadata.env","metadata.env.keyword","metadata.hostname","metadata.hostname.keyword","metadata.method","metadata.method.keyword","metadata.remoteAddress","metadata.remoteAddress.keyword","metadata.requestId","metadata.requestId.keyword","metadata.responseTime","metadata.service","metadata.service.keyword","metadata.statusCode","metadata.timestamp","metadata.url","metadata.url.keyword",service,"service.keyword"
"Nov 21, 2025 @ 12:03:21.369",sckepZoBKNps3ga0EPrL,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8a","req-8a","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:21.369","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:20.365",q8kepZoBKNps3ga0CPry,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-89","req-89","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:20.365","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:11.369",pskdpZoBKNps3ga06frY,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-88","req-88","760.699","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:11.368","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:11.207",p8kdpZoBKNps3ga06frY,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-87","req-87","1,442.865","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:11.206","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:10.608",qMkdpZoBKNps3ga06frY,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-88","req-88","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:10.607","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:10.606",qckdpZoBKNps3ga06frY,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-86","req-86","912.679","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:10.605","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:10.456",qskdpZoBKNps3ga06frY,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-85","req-85","1,086.854","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:10.455","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:09.763",oMkdpZoBKNps3ga04fr6,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-87","req-87","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:09.763","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:09.762",ockdpZoBKNps3ga04fr6,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-84","req-84","1,384.976","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:09.761","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:09.693",oskdpZoBKNps3ga04fr6,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-86","req-86","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:09.693","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
