"@timestamp","_id","_index","_score",env,"env.keyword",level,"level.keyword",message,"message.keyword","metadata.env","metadata.env.keyword","metadata.environment","metadata.environment.keyword","metadata.host","metadata.host.keyword","metadata.hostname","metadata.hostname.keyword","metadata.method","metadata.method.keyword","metadata.port","metadata.remoteAddress","metadata.remoteAddress.keyword","metadata.requestId","metadata.requestId.keyword","metadata.responseTime","metadata.service","metadata.service.keyword","metadata.statusCode","metadata.timestamp","metadata.url","metadata.url.keyword",service,"service.keyword"
"Nov 21, 2025 @ 11:45:54.348",sskOpZoBKNps3ga0Evbw,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-28","req-28","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:45:54.347","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:45:43.447",sckNpZoBKNps3ga06PZX,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-27","req-27","2,100.773","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:45:43.447","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:45:41.346",sMkNpZoBKNps3ga04PYl,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-27","req-27","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:45:41.346","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:45:31.069",rskNpZoBKNps3ga0uPaN,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-26","req-26","964.458","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:45:31.069","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:45:30.868",r8kNpZoBKNps3ga0uPaN,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-25","req-25","1,521.977","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:45:30.867","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:45:30.105","qskNpZoBKNps3ga0tfY_","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-26","req-26","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:45:30.105","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:45:30.103","q8kNpZoBKNps3ga0tfY_","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-24","req-24","902.819","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:45:30.102","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:45:29.346","rMkNpZoBKNps3ga0tfY_","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-25","req-25","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:45:29.345","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:45:29.199","rckNpZoBKNps3ga0tfY_","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-24","req-24","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:45:29.199","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:45:29.197",qckNpZoBKNps3ga0sPaw,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-23","req-23","2,850.911","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:45:29.196","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
